Round,HomeTeam,AwayTeam,Home01_No,Home01_Name,Home02_No,Home02_Name,Home03_No,Home03_Name,Home04_No,Home04_Name,Home05_No,Home05_Name,Home06_No,Home06_Name,Home07_No,Home07_Name,Home08_No,Home08_Name,Home09_No,Home09_Name,Home10_No,Home10_Name,Home11_No,Home11_Name,Away01_No,Away01_Name,Away02_No,Away02_Name,Away03_No,Away03_Name,Away04_No,Away04_Name,Away05_No,Away05_Name,Away06_No,Away06_Name,Away07_No,Away07_Name,Away08_No,Away08_Name,Away09_No,Away09_Name,Away10_No,Away10_Name,Away11_No,Away11_Name
1,Brentford,Arsenal,1,David Raya,20,Kristoffer Ajer,18,Pontus Jansson,5,Ethan Pinnock,7,Sergi Canos,15,Frank Onyeka,6,Christian Nørgaard,27,Vitaly Janelt,3,Rico Henry,19,Bryan Mbeumo,17,Ivan Toney,26,Folarin Balogun,35,Gabriel Martinelli,10,Emile Smith Rowe,19,Nicolas Pépé,34,Granit Xhaka,23,Albert Sambi Lokonga,3,Kieran Tierney,22,Pablo Mari,4,Ben White,21,Calum Chambers,1,Bernd Leno
1,Manchester United,Leeds United,1,David De Gea,29,Aaron Wan-Bissaka,2,Victor Nilsson Lindelöf,5,Harry Maguire,23,Luke Shaw,39,Scott McTominay,17,Fred,21,Daniel James,18,Bruno Fernandes,6,Paul Pogba,11,Mason Greenwood,9,Patrick Bamford,22,Jack Harrison,43,Mateusz Klich,19,Rodrigo,10,Raphinha,5,Robin Koch,15,Stuart Dallas,6,Liam Cooper,21,Pascal Struijk,2,Luke Ayling,1,Illan Meslier
1,Burnley,Brighton & Hove Albion,1,Nick Pope,2,Matthew Lowton,5,James Tarkowski,6,Ben Mee,3,Charlie Taylor,7,Johann Berg Gudmundsson,18,Ashley Westwood,4,Jack Cork,11,Dwight McNeil,9,Chris Wood,19,Jay Rodriguez,9,Neal Maupay,11,Leandro Trossard,8,Yves Bissouma,12,Enock Mwepu,20,Solly March,17,Steven Alzate,13,Pascal Gross,5,Lewis Dunk,24,Shane Duffy,4,Adam Webster,1,Robert Sánchez
1,Chelsea,Crystal Palace,16,Edouard Mendy,14,Trevoh Chalobah,4,Andreas Christensen,2,Antonio Rüdiger,28,César Azpilicueta,5,Jorginho,8,Mateo Kovacic,3,Marcos Alonso,19,Mason Mount,10,Christian Pulisic,11,Timo Werner,14,Jean-Philippe Mateta,11,Wilfried Zaha,15,Jeffrey Schlupp,18,James McArthur,44,Jairo Riedewald,9,Jordan Ayew,3,Tyrick Mitchell,6,Marc Guehi,8,Cheikhou Kouyaté,2,Joel Ward,13,Vicente Guaita
1,Everton,Southampton,1,Jordan Pickford,23,Seamus Coleman,4,Mason Holgate,5,Michael Keane,12,Lucas Digne,6,Allan,16,Abdoulaye Doucouré,14,Andros Townsend,11,Demarai Gray,7,Richarlison,9,Dominic Calvert-Lewin,9,Adam Armstrong,10,Che Adams,19,Moussa Djenepo,8,James Ward-Prowse,6,Oriol Romeu,32,Theo Walcott,15,Romain Perraud,22,Mohammed Salisu,5,Jack Stephens,21,Valentino Livramento,1,Alex McCarthy
1,Leicester City,Wolverhampton Wanderers,1,Kasper Schmeichel,21,Ricardo Pereira,18,Daniel Amartey,4,Caglar Söyüncü,33,Luke Thomas,8,Youri Tielemans,25,Wilfred Ndidi,17,Ayoze Pérez,10,James Maddison,7,Harvey Barnes,9,Jamie Vardy,9,Raul Jiménez,37,Adama Traoré,11,Trincao,5,Fernando Marcal,28,Joao Moutinho,8,Ruben Neves,2,Ki-Jana Hoever,27,Romain Saiss,16,Conor Coady,23,Max Kilman,1,José Sá
1,Watford,Aston Villa,26,Daniel Bachmann,15,Craig Cathcart,5,William Troost-Ekong,27,Christian Kabasele,11,Adam Masina,8,Tom Cleverley,4,Peter Etebo,33,Juraj Kucka,23,Ismaila Sarr,25,Emmanuel Dennis,12,Ken Sema,20,Danny Ings,18,Ashley Young,10,Emiliano Buendia,21,Anwar El-Ghazi,19,Marvelous Nakamba,7,John McGinn,3,Matt Targett,5,Tyrone Mings,4,Ezri Konsa,2,Matty Cash,1,Emiliano Martinez
1,Norwich City,Liverpool,1,Tim Krul,2,Max Aarons,5,Grant Hanley,4,Ben Gibson,30,Dimitrios Giannoulis,20,Pierre Lees-Melou,8,Billy Gilmour,7,Lukas Rupp,14,Todd Cantwell,22,Teemu Pukki,17,Milot Rashica,10,Sadio Mané,20,Diogo Jota,11,Mohamed Salah,7,James Milner,8,Naby Keita,15,Alex Oxlade-Chamberlain,21,Konstantinos Tsimikas,4,Virgil van Dijk,32,Joel Matip,66,Trent Alexander-Arnold,1,Alisson Becker
1,Newcastle United,West Ham United,27,Freddie Woodman,23,Jacob Murphy,17,Emil Krafth,18,Federico Fernández,2,Ciaran Clark,11,Matt Ritchie,14,Isaac Hayden,8,Jonjo Shelvey,24,Miguel Almiron,10,Allan Saint-Maximin,9,Callum Wilson,9,Michail Antonio,8,Pablo Fornals,22,Said Benrahma,20,Jarrod Bowen,28,Tomas Soucek,41,Declan Rice,3,Aaron Cresswell,21,Angelo Ogbonna,15,Craig Dawson,5,Vladimir Coufal,1,Lukasz Fabianski
1,Tottenham Hotspur,Manchester City,1,Hugo Lloris,25,Japhet Tanganga,6,Davinson Sánchez,15,Eric Dier,3,Sergio Reguilon,5,Pierre-Emile Højbjerg,29,Oliver Skipp,27,Lucas Moura,20,Dele Alli,23,Steven Bergwijn,7,Heung-Min Son,7,Raheem Sterling,21,Ferran Torres,26,Riyad Mahrez,10,Jack Grealish,25,Fernandinho,8,Ilkay Gündogan,22,Benjamin Mendy,6,Nathan Aké,3,Ruben Dias,27,Joao Cancelo,31,Ederson Moraes
2,Liverpool,Burnley,1,Alisson Becker,66,Trent Alexander-Arnold,32,Joel Matip,4,Virgil van Dijk,21,Konstantinos Tsimikas,67,Harvey Elliott,14,Jordan Henderson,8,Naby Keita,11,Mohamed Salah,20,Diogo Jota,10,Sadio Mané,9,Chris Wood,10,Ashley Barnes,11,Dwight McNeil,8,Josh Brownhill,4,Jack Cork,7,Johann Berg Gudmundsson,3,Charlie Taylor,6,Ben Mee,5,James Tarkowski,2,Matthew Lowton,1,Nick Pope
