Round,HomeTeam,AwayTeam,Home01_No,Home01_Name,Home02_No,Home02_Name,Home03_No,Home03_Name,Home04_No,Home04_Name,Home05_No,Home05_Name,Home06_No,Home06_Name,Home07_No,Home07_Name,Home08_No,Home08_Name,Home09_No,Home09_Name,Home10_No,Home10_Name,Home11_No,Home11_Name,Away01_No,Away01_Name,Away02_No,Away02_Name,Away03_No,Away03_Name,Away04_No,Away04_Name,Away05_No,Away05_Name,Away06_No,Away06_Name,Away07_No,Away07_Name,Away08_No,Away08_Name,Away09_No,Away09_Name,Away10_No,Away10_Name,Away11_No,Away11_Name
1,Fulham,Arsenal,12,Marek Rodak,4,Denis Odoi,3,Michael Hector,13,Tim Ream,23,Joe Bryan,21,Harrison Reed,10,Tom Cairney,7,Neeskens Kebano,25,Joshua Onomah,17,Ivan Cavaleiro,47,Aboubakar Kamara,14,Pierre-Emerick Aubameyang,9,Alexandre Lacazette,12,Willian,15,Ainsley Maitland-Niles,34,Granit Xhaka,25,Mohamed Elneny,2,Hector Bellerin,3,Kieran Tierney,6,Gabriel,16,Rob Holding,1,Bernd Leno
1,Crystal Palace,Southampton,31,Vicente Guaita,2,Joel Ward,8,Cheikhou Kouyaté,6,Scott Dann,27,Tyrick Mitchell,10,Andros Townsend,18,James McArthur,22,James McCarthy,15,Jeffrey Schlupp,9,Jordan Ayew,11,Wilfried Zaha,10,Che Adams,9,Danny Ings,11,Nathan Redmond,6,Oriol Romeu,8,James Ward-Prowse,20,William Smallbone,3,Ryan Bertrand,35,Jan Bednarek,5,Jack Stephens,2,Kyle Walker-Peters,1,Alex McCarthy
1,Liverpool,Leeds United,1,Alisson Becker,66,Trent Alexander-Arnold,12,Joseph Gomez,4,Virgil van Dijk,26,Andrew Robertson,8,Naby Keita,14,Jordan Henderson,5,Georginio Wijnaldum,11,Mohamed Salah,9,Roberto Firmino,10,Sadio Mané,9,Patrick Bamford,22,Jack Harrison,43,Mateusz Klich,19,Pablo Hernández,17,Hélder Costa,23,Kalvin Phillips,15,Stuart Dallas,21,Pascal Struijk,5,Robin Koch,2,Luke Ayling,1,Illan Meslier
1,West Ham United,Newcastle United,1,Lukasz Fabianski,24,Ryan Fredericks,23,Issa Diop,21,Angelo Ogbonna,3,Aaron Cresswell,28,Tomas Soucek,41,Declan Rice,20,Jarrod Bowen,16,Mark Noble,18,Pablo Fornals,30,Michail Antonio,7,Andy Carroll,13,Callum Wilson,10,Allan Saint-Maximin,14,Isaac Hayden,8,Jonjo Shelvey,16,Jeff Hendrick,15,Jamal Lewis,18,Federico Fernández,6,Jamaal Lascelles,19,Javier Manquillo,26,Karl Darlow
1,West Bromwich Albion,Leicester City,1,Sam Johnstone,2,Darnell Furlong,6,Semi Ajayi,5,Kyle Bartley,27,Dara O'Shea,3,Kieran Gibbs,12,Matheus Pereira,8,Jake Livermore,19,Romaine Sawyers,11,Grady Diangana,7,Callum Robinson,9,Jamie Vardy,15,Harvey Barnes,8,Youri Tielemans,26,Dennis Praet,17,Ayoze Pérez,24,Nampalys Mendy,2,James Justin,4,Caglar Söyüncü,25,Wilfred Ndidi,27,Timothy Castagne,1,Kasper Schmeichel
1,Tottenham Hotspur,Everton,1,Hugo Lloris,2,Matt Doherty,4,Toby Alderweireld,15,Eric Dier,33,Ben Davies,8,Harry Winks,5,Pierre-Emile Højbjerg,27,Lucas Moura,20,Dele Alli,7,Heung-Min Son,10,Harry Kane,9,Dominic Calvert-Lewin,7,Richarlison,21,André Gomes,19,James Rodriguez,16,Abdoulaye Doucouré,6,Allan,12,Lucas Digne,5,Michael Keane,13,Yerry Mina,23,Seamus Coleman,1,Jordan Pickford
1,Sheffield United,Wolverhampton Wanderers,1,Aaron Ramsdale,6,Chris Basham,12,John Egan,5,Jack O'Connell,2,George Baldock,7,John Lundstram,16,Oliver Norwood,4,John Fleck,3,Enda Stevens,9,Oliver McBurnie,10,Billy Sharp,10,Daniel Podence,9,Raul Jiménez,7,Pedro Neto,5,Fernando Marcal,32,Leander Dendoncker,28,Joao Moutinho,37,Adama Traoré,27,Romain Saiss,16,Conor Coady,15,Willy Boly,11,Rui Patricio
1,Brighton & Hove Albion,Chelsea,1,Mathew Ryan,3,Ben White,5,Lewis Dunk,4,Adam Webster,2,Tariq Lamptey,8,Yves Bissouma,17,Steven Alzate,20,Solly March,14,Adam Lallana,11,Leandro Trossard,9,Neal Maupay,11,Timo Werner,19,Mason Mount,12,Ruben Loftus-Cheek,29,Kai Havertz,5,Jorginho,7,N'Golo Kanté,3,Marcos Alonso,15,Kurt Zouma,4,Andreas Christensen,24,Reece James,1,Kepa Arrizabalaga
1,Burnley,Manchester United,1,Nick Pope,2,Matthew Lowton,5,James Tarkowski,6,Ben Mee,23,Erik Pieters,7,Johann Berg Gudmundsson,8,Josh Brownhill,18,Ashley Westwood,12,Robert Brady,10,Ashley Barnes,9,Chris Wood,7,Édinson Cavani,9,Anthony Martial,18,Bruno Fernandes,10,Marcus Rashford,31,Nemanja Matic,6,Paul Pogba,23,Luke Shaw,5,Harry Maguire,3,Eric Bailly,29,Aaron Wan-Bissaka,1,David De Gea
1,Manchester City,Aston Villa,31,Ederson Moraes,2,Kyle Walker,5,John Stones,3,Ruben Dias,16,Rodri,27,Joao Cancelo,7,Raheem Sterling,17,Kevin De Bruyne,8,Ilkay Gündogan,47,Phil Foden,20,Bernardo Silva,11,Ollie Watkins,10,Jack Grealish,20,Ross Barkley,15,Bertrand Traoré,7,John McGinn,6,Douglas Luiz,18,Matt Targett,5,Tyrone Mings,4,Ezri Konsa,2,Matty Cash,26,Emiliano Martinez
