Round,HomeTeam,AwayTeam,Home01_No,Home01_Name,Home02_No,Home02_Name,Home03_No,Home03_Name,Home04_No,Home04_Name,Home05_No,Home05_Name,Home06_No,Home06_Name,Home07_No,Home07_Name,Home08_No,Home08_Name,Home09_No,Home09_Name,Home10_No,Home10_Name,Home11_No,Home11_Name,Away01_No,Away01_Name,Away02_No,Away02_Name,Away03_No,Away03_Name,Away04_No,Away04_Name,Away05_No,Away05_Name,Away06_No,Away06_Name,Away07_No,Away07_Name,Away08_No,Away08_Name,Away09_No,Away09_Name,Away10_No,Away10_Name,Away11_No,Away11_Name
2,Arsenal,Burnley,1,Bernd Leno,15,Ainsley Maitland-Niles,5,Sokratis Papastathopoulos,23,David Luiz,18,Nacho Monreal,8,Daniel Ceballos,29,Matteo Guendouzi,24,Reiss Nelson,28,Joseph Willock,14,Pierre-Emerick Aubameyang,9,Alexandre Lacazette,10,Ashley Barnes,9,Chris Wood,11,Dwight McNeil,18,Ashley Westwood,4,Jack Cork,7,Johann Berg Gudmundsson,23,Erik Pieters,6,Ben Mee,5,James Tarkowski,2,Matthew Lowton,1,Nick Pope
2,Aston Villa,AFC Bournemouth,1,Tom Heaton,27,Ahmed El Mohamady,22,Björn Engels,40,Tyrone Mings,3,Neil Taylor,7,John McGinn,6,Douglas Luiz,10,Jack Grealish,17,Trezeguet,9,Wesley,21,Anwar El-Ghazi,13,Callum Wilson,7,Joshua King,24,Ryan Fraser,8,Jefferson Lerma,29,Philip Billing,22,Harry Wilson,11,Charlie Daniels,5,Nathan Aké,3,Steve Cook,15,Adam Smith,12,Aaron Ramsdale
2,Brighton & Hove Albion,West Ham United,1,Mathew Ryan,22,Martin Montoya,4,Shane Duffy,5,Lewis Dunk,33,Daniel Burn,20,Solly March,13,Pascal Gross,6,Dale Stephens,24,Davy Pröpper,11,Leandro Trossard,17,Glenn Murray,9,Javier Hernández,10,Manuel Lanzini,18,Pablo Fornals,11,Robert Snodgrass,41,Declan Rice,19,Jack Wilshere,26,Arthur Masuaku,21,Angelo Ogbonna,23,Issa Diop,24,Ryan Fredericks,1,Lukasz Fabianski
2,Everton,Watford,1,Jordan Pickford,23,Seamus Coleman,5,Michael Keane,13,Yerry Mina,12,Lucas Digne,25,Jean-Philippe Gbamin,21,André Gomes,7,Richarlison,10,Gylfi Sigurdsson,20,Bernard,9,Dominic Calvert-Lewin,9,Troy Deeney,7,Gerard Deulofeu,37,Roberto Pereyra,19,Will Hughes,29,Étienne Capoue,16,Abdoulaye Doucouré,25,Jose Holebas,15,Craig Cathcart,4,Craig Dawson,21,Kiko,26,Ben Foster
2,Norwich City,Newcastle United,1,Tim Krul,2,Max Aarons,5,Grant Hanley,4,Ben Godfrey,12,Jamal Lewis,19,Tom Trybull,10,Moritz Leitner,17,Emiliano Buendia,18,Marco Stiepermann,14,Todd Cantwell,22,Teemu Pukki,9,Joelinton,24,Miguel Almiron,11,Matt Ritchie,4,Sung-Yueng Ki,8,Jonjo Shelvey,14,Isaac Hayden,17,Emil Krafth,3,Paul Dummett,6,Jamaal Lascelles,5,Fabian Schär,1,Martin Dubravka
2,Southampton,Liverpool,28,Angus Gunn,35,Jan Bednarek,3,Maya Yoshida,4,Jannik Vestergaard,43,Yan Valery,16,James Ward-Prowse,14,Oriol Romeu,23,Pierre-Emile Højbjerg,21,Ryan Bertrand,10,Che Adams,22,Nathan Redmond,10,Sadio Mané,9,Roberto Firmino,11,Mohamed Salah,7,James Milner,5,Georginio Wijnaldum,15,Alex Oxlade-Chamberlain,26,Andrew Robertson,4,Virgil van Dijk,32,Joel Matip,66,Trent Alexander-Arnold,13,Adrian
2,Manchester City,Tottenham Hotspur,31,Ederson Moraes,2,Kyle Walker,30,Nicolás Otamendi,14,Aymeric Laporte,11,Oleksandr Zinchenko,17,Kevin De Bruyne,16,Rodri,8,Ilkay Gündogan,20,Bernardo Silva,10,Sergio Agüero,7,Raheem Sterling,10,Harry Kane,11,Erik Lamela,23,Christian Eriksen,8,Harry Winks,28,Tanguy Ndombélé,17,Moussa Sissoko,3,Danny Rose,6,Davinson Sánchez,4,Toby Alderweireld,16,Kyle Walker-Peters,1,Hugo Lloris
2,Sheffield United,Crystal Palace,1,Dean Henderson,6,Chris Basham,12,John Egan,5,Jack O'Connell,2,George Baldock,7,John Lundstram,16,Oliver Norwood,4,John Fleck,3,Enda Stevens,17,David McGoldrick,11,Callum Robinson,11,Wilfried Zaha,17,Christian Benteke,7,Max Meyer,4,Luka Milivojevic,18,James McArthur,10,Andros Townsend,3,Patrick van Aanholt,6,Scott Dann,34,Martin Kelly,2,Joel Ward,31,Vicente Guaita
2,Chelsea,Leicester City,1,Kepa Arrizabalaga,28,César Azpilicueta,4,Andreas Christensen,15,Kurt Zouma,33,Emerson,7,N'Golo Kanté,5,Jorginho,11,Pedro Rodriguez,19,Mason Mount,22,Christian Pulisic,18,Olivier Giroud,9,Jamie Vardy,10,James Maddison,20,Hamza Choudhury,8,Youri Tielemans,17,Ayoze Pérez,25,Wilfred Ndidi,28,Christian Fuchs,4,Caglar Söyüncü,6,Jonny Evans,21,Ricardo Pereira,1,Kasper Schmeichel
2,Wolverhampton Wanderers,Manchester United,11,Rui Patricio,5,Ryan Bennett,16,Conor Coady,15,Willy Boly,2,Matt Doherty,32,Leander Dendoncker,28,Joao Moutinho,8,Ruben Neves,19,Jonny,9,Raul Jiménez,18,Diogo Jota,9,Anthony Martial,10,Marcus Rashford,14,Jesse Lingard,21,Daniel James,39,Scott McTominay,6,Paul Pogba,23,Luke Shaw,5,Harry Maguire,2,Victor Nilsson Lindelöf,29,Aaron Wan-Bissaka,1,David De Gea
3,Aston Villa,Everton,1,Tom Heaton,24,Frédéric Guilbert,22,Björn Engels,40,Tyrone Mings,3,Neil Taylor,6,Douglas Luiz,7,John McGinn,10,Jack Grealish,23,Jota,17,Trezeguet,9,Wesley,9,Dominic Calvert-Lewin,20,Bernard,10,Gylfi Sigurdsson,7,Richarlison,21,André Gomes,18,Morgan Schneiderlin,12,Lucas Digne,13,Yerry Mina,5,Michael Keane,23,Seamus Coleman,1,Jordan Pickford
3,Norwich City,Chelsea,1,Tim Krul,2,Max Aarons,5,Grant Hanley,4,Ben Godfrey,12,Jamal Lewis,10,Moritz Leitner,19,Tom Trybull,14,Todd Cantwell,18,Marco Stiepermann,17,Emiliano Buendia,22,Teemu Pukki,19,Mason Mount,9,Tammy Abraham,22,Christian Pulisic,8,Ross Barkley,5,Jorginho,17,Mateo Kovacic,33,Emerson,15,Kurt Zouma,4,Andreas Christensen,28,César Azpilicueta,1,Kepa Arrizabalaga
3,Brighton & Hove Albion,Southampton,1,Mathew Ryan,4,Shane Duffy,5,Lewis Dunk,33,Daniel Burn,22,Martin Montoya,24,Davy Pröpper,6,Dale Stephens,20,Solly March,7,Neal Maupay,11,Leandro Trossard,10,Florin Andone,10,Che Adams,9,Danny Ings,22,Nathan Redmond,16,James Ward-Prowse,23,Pierre-Emile Højbjerg,14,Oriol Romeu,38,Kevin Danso,4,Jannik Vestergaard,35,Jan Bednarek,43,Yan Valery,28,Angus Gunn
3,Manchester United,Crystal Palace,1,David De Gea,29,Aaron Wan-Bissaka,2,Victor Nilsson Lindelöf,5,Harry Maguire,23,Luke Shaw,6,Paul Pogba,39,Scott McTominay,21,Daniel James,14,Jesse Lingard,10,Marcus Rashford,9,Anthony Martial,15,Jeffrey Schlupp,9,Jordan Ayew,11,Wilfried Zaha,8,Cheikhou Kouyaté,4,Luka Milivojevic,18,James McArthur,3,Patrick van Aanholt,34,Martin Kelly,24,Gary Cahill,2,Joel Ward,31,Vicente Guaita
3,Sheffield United,Leicester City,1,Dean Henderson,6,Chris Basham,12,John Egan,5,Jack O'Connell,2,George Baldock,7,John Lundstram,16,Oliver Norwood,8,Luke Freeman,3,Enda Stevens,17,David McGoldrick,11,Callum Robinson,9,Jamie Vardy,10,James Maddison,26,Dennis Praet,8,Youri Tielemans,17,Ayoze Pérez,20,Hamza Choudhury,28,Christian Fuchs,4,Caglar Söyüncü,6,Jonny Evans,21,Ricardo Pereira,1,Kasper Schmeichel
3,Watford,West Ham United,26,Ben Foster,21,Kiko,4,Craig Dawson,15,Craig Cathcart,25,Jose Holebas,16,Abdoulaye Doucouré,29,Étienne Capoue,19,Will Hughes,8,Tom Cleverley,7,Gerard Deulofeu,18,Andre Gray,22,Sebastien Haller,8,Felipe Anderson,10,Manuel Lanzini,7,Andriy Yarmolenko,41,Declan Rice,16,Mark Noble,26,Arthur Masuaku,23,Issa Diop,21,Angelo Ogbonna,24,Ryan Fredericks,1,Lukasz Fabianski
3,Liverpool,Arsenal,13,Adrian,66,Trent Alexander-Arnold,32,Joel Matip,4,Virgil van Dijk,26,Andrew Robertson,14,Jordan Henderson,3,Fabinho,5,Georginio Wijnaldum,11,Mohamed Salah,9,Roberto Firmino,10,Sadio Mané,14,Pierre-Emerick Aubameyang,19,Nicolas Pépé,8,Daniel Ceballos,28,Joseph Willock,34,Granit Xhaka,29,Matteo Guendouzi,18,Nacho Monreal,23,David Luiz,5,Sokratis Papastathopoulos,15,Ainsley Maitland-Niles,1,Bernd Leno
3,AFC Bournemouth,Manchester City,12,Aaron Ramsdale,15,Adam Smith,33,Chris Mepham,3,Steve Cook,5,Nathan Aké,11,Charlie Daniels,7,Joshua King,8,Jefferson Lerma,29,Philip Billing,24,Ryan Fraser,13,Callum Wilson,7,Raheem Sterling,10,Sergio Agüero,20,Bernardo Silva,21,David Silva,8,Ilkay Gündogan,17,Kevin De Bruyne,11,Oleksandr Zinchenko,14,Aymeric Laporte,30,Nicolás Otamendi,2,Kyle Walker,31,Ederson Moraes
3,Tottenham Hotspur,Newcastle United,1,Hugo Lloris,16,Kyle Walker-Peters,4,Toby Alderweireld,6,Davinson Sánchez,3,Danny Rose,17,Moussa Sissoko,8,Harry Winks,27,Lucas Moura,11,Erik Lamela,7,Heung-Min Son,10,Harry Kane,9,Joelinton,10,Allan Saint-Maximin,24,Miguel Almiron,11,Matt Ritchie,36,Sean Longstaff,14,Isaac Hayden,17,Emil Krafth,3,Paul Dummett,6,Jamaal Lascelles,5,Fabian Schär,1,Martin Dubravka
3,Wolverhampton Wanderers,Burnley,11,Rui Patricio,5,Ryan Bennett,16,Conor Coady,15,Willy Boly,2,Matt Doherty,17,Morgan Gibbs-White,8,Ruben Neves,28,Joao Moutinho,19,Jonny,9,Raul Jiménez,18,Diogo Jota,9,Chris Wood,10,Ashley Barnes,11,Dwight McNeil,18,Ashley Westwood,4,Jack Cork,7,Johann Berg Gudmundsson,23,Erik Pieters,6,Ben Mee,5,James Tarkowski,2,Matthew Lowton,1,Nick Pope
4,Southampton,Manchester United,28,Angus Gunn,2,Cédric Soares,4,Jannik Vestergaard,35,Jan Bednarek,38,Kevin Danso,23,Pierre-Emile Højbjerg,14,Oriol Romeu,16,James Ward-Prowse,19,Sofiane Boufal,9,Danny Ings,10,Che Adams,10,Marcus Rashford,21,Daniel James,8,Juan Mata,15,Andreas Pereira,39,Scott McTominay,6,Paul Pogba,18,Ashley Young,5,Harry Maguire,2,Victor Nilsson Lindelöf,29,Aaron Wan-Bissaka,1,David De Gea
4,Chelsea,Sheffield United,1,Kepa Arrizabalaga,28,César Azpilicueta,29,Fikayo Tomori,15,Kurt Zouma,33,Emerson,17,Mateo Kovacic,5,Jorginho,22,Christian Pulisic,8,Ross Barkley,19,Mason Mount,9,Tammy Abraham,9,Oliver McBurnie,11,Callum Robinson,3,Enda Stevens,8,Luke Freeman,16,Oliver Norwood,7,John Lundstram,2,George Baldock,5,Jack O'Connell,12,John Egan,6,Chris Basham,1,Dean Henderson
4,Crystal Palace,Aston Villa,31,Vicente Guaita,2,Joel Ward,34,Martin Kelly,24,Gary Cahill,3,Patrick van Aanholt,18,James McArthur,4,Luka Milivojevic,8,Cheikhou Kouyaté,11,Wilfried Zaha,9,Jordan Ayew,15,Jeffrey Schlupp,9,Wesley,17,Trezeguet,10,Jack Grealish,23,Jota,6,Douglas Luiz,7,John McGinn,3,Neil Taylor,40,Tyrone Mings,22,Björn Engels,24,Frédéric Guilbert,1,Tom Heaton
4,Leicester City,AFC Bournemouth,1,Kasper Schmeichel,21,Ricardo Pereira,6,Jonny Evans,4,Caglar Söyüncü,3,Ben Chilwell,25,Wilfred Ndidi,11,Marc Albrighton,8,Youri Tielemans,10,James Maddison,15,Harvey Barnes,9,Jamie Vardy,13,Callum Wilson,7,Joshua King,22,Harry Wilson,24,Ryan Fraser,8,Jefferson Lerma,29,Philip Billing,15,Adam Smith,5,Nathan Aké,3,Steve Cook,33,Chris Mepham,12,Aaron Ramsdale
4,Manchester City,Brighton & Hove Albion,31,Ederson Moraes,2,Kyle Walker,30,Nicolás Otamendi,14,Aymeric Laporte,11,Oleksandr Zinchenko,17,Kevin De Bruyne,16,Rodri,21,David Silva,26,Riyad Mahrez,10,Sergio Agüero,7,Raheem Sterling,7,Neal Maupay,11,Leandro Trossard,20,Solly March,30,Bernardo,6,Dale Stephens,24,Davy Pröpper,22,Martin Montoya,33,Daniel Burn,5,Lewis Dunk,15,Adam Webster,1,Mathew Ryan
4,Newcastle United,Watford,1,Martin Dubravka,17,Emil Krafth,5,Fabian Schär,6,Jamaal Lascelles,3,Paul Dummett,15,Jetro Willems,24,Miguel Almiron,14,Isaac Hayden,36,Sean Longstaff,30,Christian Atsu,9,Joelinton,18,Andre Gray,37,Roberto Pereyra,19,Will Hughes,21,Kiko,8,Tom Cleverley,16,Abdoulaye Doucouré,2,Daryl Janmaat,15,Craig Cathcart,27,Christian Kabasele,4,Craig Dawson,26,Ben Foster
4,West Ham United,Norwich City,1,Lukasz Fabianski,24,Ryan Fredericks,23,Issa Diop,21,Angelo Ogbonna,26,Arthur Masuaku,16,Mark Noble,41,Declan Rice,7,Andriy Yarmolenko,10,Manuel Lanzini,8,Felipe Anderson,22,Sebastien Haller,22,Teemu Pukki,14,Todd Cantwell,18,Marco Stiepermann,17,Emiliano Buendia,10,Moritz Leitner,19,Tom Trybull,12,Jamal Lewis,4,Ben Godfrey,6,Christoph Zimmermann,2,Max Aarons,1,Tim Krul
4,Burnley,Liverpool,1,Nick Pope,2,Matthew Lowton,5,James Tarkowski,6,Ben Mee,23,Erik Pieters,25,Aaron Lennon,18,Ashley Westwood,4,Jack Cork,11,Dwight McNeil,10,Ashley Barnes,9,Chris Wood,10,Sadio Mané,9,Roberto Firmino,11,Mohamed Salah,5,Georginio Wijnaldum,3,Fabinho,14,Jordan Henderson,26,Andrew Robertson,4,Virgil van Dijk,32,Joel Matip,66,Trent Alexander-Arnold,13,Adrian
4,Everton,Wolverhampton Wanderers,1,Jordan Pickford,23,Seamus Coleman,5,Michael Keane,13,Yerry Mina,12,Lucas Digne,21,André Gomes,8,Fabian Delph,7,Richarlison,10,Gylfi Sigurdsson,17,Alex Iwobi,27,Moise Kean,10,Patrick Cutrone,9,Raul Jiménez,29,Ruben Vinagre,27,Romain Saiss,8,Ruben Neves,32,Leander Dendoncker,37,Adama Traoré,15,Willy Boly,16,Conor Coady,5,Ryan Bennett,11,Rui Patricio
4,Arsenal,Tottenham Hotspur,1,Bernd Leno,15,Ainsley Maitland-Niles,5,Sokratis Papastathopoulos,23,David Luiz,31,Sead Kolasinac,11,Lucas Torreira,34,Granit Xhaka,29,Matteo Guendouzi,19,Nicolas Pépé,9,Alexandre Lacazette,14,Pierre-Emerick Aubameyang,10,Harry Kane,7,Heung-Min Son,23,Christian Eriksen,11,Erik Lamela,8,Harry Winks,17,Moussa Sissoko,3,Danny Rose,5,Jan Vertonghen,4,Toby Alderweireld,6,Davinson Sánchez,1,Hugo Lloris
5,Liverpool,Newcastle United,13,Adrian,66,Trent Alexander-Arnold,32,Joel Matip,4,Virgil van Dijk,26,Andrew Robertson,15,Alex Oxlade-Chamberlain,3,Fabinho,5,Georginio Wijnaldum,11,Mohamed Salah,10,Sadio Mané,27,Divock Origi,9,Joelinton,30,Christian Atsu,8,Jonjo Shelvey,14,Isaac Hayden,24,Miguel Almiron,15,Jetro Willems,3,Paul Dummett,6,Jamaal Lascelles,5,Fabian Schär,17,Emil Krafth,1,Martin Dubravka
5,Brighton & Hove Albion,Burnley,1,Mathew Ryan,4,Shane Duffy,5,Lewis Dunk,15,Adam Webster,20,Solly March,24,Davy Pröpper,6,Dale Stephens,33,Daniel Burn,13,Pascal Gross,7,Neal Maupay,17,Glenn Murray,9,Chris Wood,10,Ashley Barnes,11,Dwight McNeil,4,Jack Cork,18,Ashley Westwood,25,Aaron Lennon,23,Erik Pieters,6,Ben Mee,5,James Tarkowski,2,Matthew Lowton,1,Nick Pope
5,Manchester United,Leicester City,1,David De Gea,29,Aaron Wan-Bissaka,2,Victor Nilsson Lindelöf,5,Harry Maguire,18,Ashley Young,39,Scott McTominay,31,Nemanja Matic,15,Andreas Pereira,8,Juan Mata,21,Daniel James,10,Marcus Rashford,9,Jamie Vardy,10,James Maddison,8,Youri Tielemans,7,Demarai Gray,20,Hamza Choudhury,25,Wilfred Ndidi,3,Ben Chilwell,4,Caglar Söyüncü,6,Jonny Evans,21,Ricardo Pereira,1,Kasper Schmeichel
5,Sheffield United,Southampton,1,Dean Henderson,6,Chris Basham,12,John Egan,5,Jack O'Connell,2,George Baldock,7,John Lundstram,16,Oliver Norwood,4,John Fleck,3,Enda Stevens,17,David McGoldrick,9,Oliver McBurnie,10,Che Adams,19,Sofiane Boufal,16,James Ward-Prowse,12,Moussa Djenepo,23,Pierre-Emile Højbjerg,14,Oriol Romeu,2,Cédric Soares,4,Jannik Vestergaard,3,Maya Yoshida,35,Jan Bednarek,28,Angus Gunn
5,Tottenham Hotspur,Crystal Palace,1,Hugo Lloris,24,Serge Aurier,4,Toby Alderweireld,5,Jan Vertonghen,3,Danny Rose,17,Moussa Sissoko,8,Harry Winks,11,Erik Lamela,23,Christian Eriksen,7,Heung-Min Son,10,Harry Kane,9,Jordan Ayew,11,Wilfried Zaha,15,Jeffrey Schlupp,8,Cheikhou Kouyaté,4,Luka Milivojevic,10,Andros Townsend,3,Patrick van Aanholt,12,Mamadou Sakho,24,Gary Cahill,2,Joel Ward,31,Vicente Guaita
5,Wolverhampton Wanderers,Chelsea,11,Rui Patricio,4,Jesus Vallejo,16,Conor Coady,27,Romain Saiss,37,Adama Traoré,32,Leander Dendoncker,8,Ruben Neves,28,Joao Moutinho,19,Jonny,9,Raul Jiménez,18,Diogo Jota,9,Tammy Abraham,10,Willian,19,Mason Mount,3,Marcos Alonso,17,Mateo Kovacic,5,Jorginho,28,César Azpilicueta,29,Fikayo Tomori,4,Andreas Christensen,2,Antonio Rüdiger,1,Kepa Arrizabalaga
5,Norwich City,Manchester City,1,Tim Krul,3,Sam Byram,24,Ibrahim Amadou,4,Ben Godfrey,12,Jamal Lewis,23,Kenny McLean,27,Alexander Tettey,17,Emiliano Buendia,18,Marco Stiepermann,14,Todd Cantwell,22,Teemu Pukki,7,Raheem Sterling,10,Sergio Agüero,20,Bernardo Silva,21,David Silva,16,Rodri,8,Ilkay Gündogan,11,Oleksandr Zinchenko,30,Nicolás Otamendi,5,John Stones,2,Kyle Walker,31,Ederson Moraes
5,AFC Bournemouth,Everton,12,Aaron Ramsdale,17,Jack Stacey,3,Steve Cook,5,Nathan Aké,21,Diego Rico,22,Harry Wilson,16,Lewis Cook,29,Philip Billing,7,Joshua King,9,Dominic Solanke,13,Callum Wilson,9,Dominic Calvert-Lewin,17,Alex Iwobi,10,Gylfi Sigurdsson,7,Richarlison,8,Fabian Delph,18,Morgan Schneiderlin,12,Lucas Digne,13,Yerry Mina,5,Michael Keane,23,Seamus Coleman,1,Jordan Pickford
5,Watford,Arsenal,26,Ben Foster,21,Kiko,4,Craig Dawson,27,Christian Kabasele,25,Jose Holebas,16,Abdoulaye Doucouré,29,Étienne Capoue,19,Will Hughes,8,Tom Cleverley,7,Gerard Deulofeu,18,Andre Gray,14,Pierre-Emerick Aubameyang,19,Nicolas Pépé,10,Mesut Özil,8,Daniel Ceballos,29,Matteo Guendouzi,34,Granit Xhaka,31,Sead Kolasinac,23,David Luiz,5,Sokratis Papastathopoulos,15,Ainsley Maitland-Niles,1,Bernd Leno
5,Aston Villa,West Ham United,1,Tom Heaton,24,Frédéric Guilbert,22,Björn Engels,40,Tyrone Mings,3,Neil Taylor,7,John McGinn,11,Marvelous Nakamba,10,Jack Grealish,23,Jota,9,Wesley,21,Anwar El-Ghazi,22,Sebastien Haller,8,Felipe Anderson,10,Manuel Lanzini,16,Mark Noble,7,Andriy Yarmolenko,41,Declan Rice,26,Arthur Masuaku,21,Angelo Ogbonna,23,Issa Diop,24,Ryan Fredericks,1,Lukasz Fabianski
6,Southampton,AFC Bournemouth,28,Angus Gunn,38,Kevin Danso,35,Jan Bednarek,4,Jannik Vestergaard,2,Cédric Soares,16,James Ward-Prowse,14,Oriol Romeu,23,Pierre-Emile Højbjerg,19,Sofiane Boufal,22,Nathan Redmond,10,Che Adams,13,Callum Wilson,9,Dominic Solanke,7,Joshua King,29,Philip Billing,8,Jefferson Lerma,22,Harry Wilson,21,Diego Rico,5,Nathan Aké,3,Steve Cook,17,Jack Stacey,12,Aaron Ramsdale
6,Leicester City,Tottenham Hotspur,1,Kasper Schmeichel,21,Ricardo Pereira,6,Jonny Evans,4,Caglar Söyüncü,3,Ben Chilwell,25,Wilfred Ndidi,17,Ayoze Pérez,8,Youri Tielemans,10,James Maddison,15,Harvey Barnes,9,Jamie Vardy,10,Harry Kane,7,Heung-Min Son,11,Erik Lamela,8,Harry Winks,28,Tanguy Ndombélé,17,Moussa Sissoko,3,Danny Rose,5,Jan Vertonghen,4,Toby Alderweireld,24,Serge Aurier,22,Paulo Gazzaniga
