Round,HomeTeam,AwayTeam,Home01_No,Home01_Name,Home02_No,Home02_Name,Home03_No,Home03_Name,Home04_No,Home04_Name,Home05_No,Home05_Name,Home06_No,Home06_Name,Home07_No,Home07_Name,Home08_No,Home08_Name,Home09_No,Home09_Name,Home10_No,Home10_Name,Home11_No,Home11_Name,Away01_No,Away01_Name,Away02_No,Away02_Name,Away03_No,Away03_Name,Away04_No,Away04_Name,Away05_No,Away05_Name,Away06_No,Away06_Name,Away07_No,Away07_Name,Away08_No,Away08_Name,Away09_No,Away09_Name,Away10_No,Away10_Name,Away11_No,Away11_Name
1,Liverpool,Norwich City,1,Alisson Becker,66,Trent Alexander-Arnold,12,Joseph Gomez,4,Virgil van Dijk,26,Andrew Robertson,14,Jordan Henderson,3,Fabinho,5,Georginio Wijnaldum,11,Mohamed Salah,9,Roberto Firmino,27,Divock Origi,22,Teemu Pukki,14,Todd Cantwell,18,Marco Stiepermann,17,Emiliano Buendia,19,Tom Trybull,23,Kenny McLean,12,Jamal Lewis,4,Ben Godfrey,5,Grant Hanley,2,Max Aarons,1,Tim Krul
1,West Ham United,Manchester City,1,Lukasz Fabianski,24,Ryan Fredericks,4,Fabian Balbuena,23,Issa Diop,3,Aaron Cresswell,19,Jack Wilshere,41,Declan Rice,8,Felipe Anderson,10,Manuel Lanzini,30,Michail Antonio,22,Sebastien Haller,7,Raheem Sterling,9,Gabriel Jesus,26,Riyad Mahrez,21,David Silva,16,Rodri,17,Kevin De Bruyne,11,Oleksandr Zinchenko,14,Aymeric Laporte,5,John Stones,2,Kyle Walker,31,Ederson Moraes
1,AFC Bournemouth,Sheffield United,12,Aaron Ramsdale,33,Chris Mepham,3,Steve Cook,5,Nathan Aké,15,Adam Smith,8,Jefferson Lerma,29,Philip Billing,21,Diego Rico,7,Joshua King,13,Callum Wilson,24,Ryan Fraser,11,Callum Robinson,17,David McGoldrick,3,Enda Stevens,4,John Fleck,16,Oliver Norwood,7,John Lundstram,2,George Baldock,5,Jack O'Connell,12,John Egan,6,Chris Basham,1,Dean Henderson
1,Burnley,Southampton,1,Nick Pope,2,Matthew Lowton,5,James Tarkowski,6,Ben Mee,23,Erik Pieters,4,Jack Cork,7,Johann Berg Gudmundsson,18,Ashley Westwood,11,Dwight McNeil,9,Chris Wood,10,Ashley Barnes,9,Danny Ings,22,Nathan Redmond,10,Che Adams,21,Ryan Bertrand,14,Oriol Romeu,16,James Ward-Prowse,43,Yan Valery,5,Jack Stephens,35,Jan Bednarek,4,Jannik Vestergaard,28,Angus Gunn
1,Crystal Palace,Everton,31,Vicente Guaita,2,Joel Ward,34,Martin Kelly,6,Scott Dann,3,Patrick van Aanholt,10,Andros Townsend,18,James McArthur,4,Luka Milivojevic,7,Max Meyer,17,Christian Benteke,9,Jordan Ayew,9,Dominic Calvert-Lewin,20,Bernard,10,Gylfi Sigurdsson,7,Richarlison,21,André Gomes,18,Morgan Schneiderlin,12,Lucas Digne,13,Yerry Mina,5,Michael Keane,23,Seamus Coleman,1,Jordan Pickford
1,Watford,Brighton & Hove Albion,26,Ben Foster,21,Kiko,4,Craig Dawson,15,Craig Cathcart,25,Jose Holebas,19,Will Hughes,29,Étienne Capoue,16,Abdoulaye Doucouré,7,Gerard Deulofeu,9,Troy Deeney,18,Andre Gray,17,Glenn Murray,9,Jürgen Locadia,13,Pascal Gross,20,Solly March,6,Dale Stephens,24,Davy Pröpper,22,Martin Montoya,33,Daniel Burn,5,Lewis Dunk,4,Shane Duffy,1,Mathew Ryan
1,Tottenham Hotspur,Aston Villa,1,Hugo Lloris,16,Kyle Walker-Peters,4,Toby Alderweireld,6,Davinson Sánchez,3,Danny Rose,17,Moussa Sissoko,8,Harry Winks,28,Tanguy Ndombélé,27,Lucas Moura,10,Harry Kane,11,Erik Lamela,9,Wesley,21,Anwar El-Ghazi,10,Jack Grealish,17,Trezeguet,14,Conor Hourihane,7,John McGinn,3,Neil Taylor,40,Tyrone Mings,22,Björn Engels,27,Ahmed El Mohamady,1,Tom Heaton
1,Leicester City,Wolverhampton Wanderers,1,Kasper Schmeichel,21,Ricardo Pereira,6,Jonny Evans,4,Caglar Söyüncü,3,Ben Chilwell,25,Wilfred Ndidi,20,Hamza Choudhury,17,Ayoze Pérez,8,Youri Tielemans,10,James Maddison,9,Jamie Vardy,18,Diogo Jota,9,Raul Jiménez,28,Joao Moutinho,19,Jonny,8,Ruben Neves,32,Leander Dendoncker,2,Matt Doherty,15,Willy Boly,16,Conor Coady,5,Ryan Bennett,11,Rui Patricio
1,Newcastle United,Arsenal,1,Martin Dubravka,5,Fabian Schär,6,Jamaal Lascelles,3,Paul Dummett,19,Javier Manquillo,14,Isaac Hayden,8,Jonjo Shelvey,36,Sean Longstaff,11,Matt Ritchie,24,Miguel Almiron,9,Joelinton,14,Pierre-Emerick Aubameyang,24,Reiss Nelson,28,Joseph Willock,7,Henrikh Mkhitaryan,34,Granit Xhaka,29,Matteo Guendouzi,18,Nacho Monreal,5,Sokratis Papastathopoulos,21,Calum Chambers,15,Ainsley Maitland-Niles,1,Bernd Leno
1,Manchester United,Chelsea,1,David De Gea,29,Aaron Wan-Bissaka,2,Victor Nilsson Lindelöf,5,Harry Maguire,23,Luke Shaw,39,Scott McTominay,6,Paul Pogba,14,Jesse Lingard,15,Andreas Pereira,10,Marcus Rashford,9,Anthony Martial,9,Tammy Abraham,8,Ross Barkley,19,Mason Mount,11,Pedro Rodriguez,17,Mateo Kovacic,5,Jorginho,33,Emerson,15,Kurt Zouma,4,Andreas Christensen,28,César Azpilicueta,1,Kepa Arrizabalaga
